s,A(s)/h (GHz),B(s)/h (GHz),C (normalized)
0.607,0.2186175,4.5442310,0.5551510
0.608,0.2157236,4.5573990,0.5558150
0.609,0.2128780,4.5705850,0.5564827
0.610,0.2100901,4.5837900,0.5571546
0.611,0.2073469,4.5970150,0.5578300
0.612,0.2046037,4.6102580,0.5585053
0.613,0.2018604,4.6235200,0.5591806
0.614,0.1991172,4.6368020,0.5598560
0.615,0.1963740,4.6501030,0.5605313
0.616,0.1936307,4.6634220,0.5612066
0.617,0.1909052,4.6767610,0.5618834
0.618,0.1882740,4.6901180,0.5625677
0.619,0.1856645,4.7034950,0.5632537
0.620,0.1831452,4.7168910,0.5639468
0.621,0.1806258,4.7303060,0.5646400
0.622,0.1781065,4.7437400,0.5653332
0.623,0.1755872,4.7571930,0.5660263
0.624,0.1730679,4.7706650,0.5667195
0.625,0.1705486,4.7841560,0.5674126
0.626,0.1680292,4.7976660,0.5681058
0.627,0.1656219,4.8111950,0.5688085
0.628,0.1632242,4.8247430,0.5695120
0.629,0.1609472,4.8383110,0.5702257
0.630,0.1586701,4.8518970,0.5709393
0.631,0.1563930,4.8655020,0.5716530
0.632,0.1541160,4.8791270,0.5723666
0.633,0.1518389,4.8927700,0.5730803
0.634,0.1495618,4.9064330,0.5737939
0.635,0.1472911,4.9201140,0.5745081
0.636,0.1451099,4.9338150,0.5752301
0.637,0.1429464,4.9475340,0.5759536
0.638,0.1408490,4.9612730,0.5766829
0.639,0.1387515,4.9750310,0.5774123
0.640,0.1366541,4.9888080,0.5781416
0.641,0.1345567,5.0026030,0.5788709
0.642,0.1324593,5.0164180,0.5796003
0.643,0.1303619,5.0302520,0.5803296
0.644,0.1282999,5.0441050,0.5810623
0.645,0.1263042,5.0579770,0.5818012
0.646,0.1243600,5.0718680,0.5825448
0.647,0.1224601,5.0857780,0.5832926
0.648,0.1205601,5.0997080,0.5840404
0.649,0.1186602,5.1136560,0.5847883
0.650,0.1167602,5.1276230,0.5855361
0.651,0.1148603,5.1416090,0.5862839
0.652,0.1129604,5.1556150,0.5870317
0.653,0.1111408,5.1696390,0.5877876
0.654,0.1093429,5.1836830,0.5885458
0.655,0.1076467,5.1977450,0.5893140
0.656,0.1059505,5.2118270,0.5900823
0.657,0.1042543,5.2259270,0.5908505
0.658,0.1025582,5.2400470,0.5916188
0.659,0.1008620,5.2541860,0.5923870
0.660,0.0991658,5.2683440,0.5931553
0.661,0.0975127,5.2825200,0.5939280
0.662,0.0958922,5.2967160,0.5947041
0.663,0.0943310,5.3109310,0.5954866
0.664,0.0927810,5.3251650,0.5962702
0.665,0.0912309,5.3394180,0.5970538
0.666,0.0896808,5.3536900,0.5978374
0.667,0.0881307,5.3679810,0.5986210
0.668,0.0865806,5.3822920,0.5994047
0.669,0.0850704,5.3966210,0.6001928
0.670,0.0836089,5.4109690,0.6009864
0.671,0.0822053,5.4253360,0.6017864
0.672,0.0808187,5.4397230,0.6025883
0.673,0.0794321,5.4541280,0.6033903
0.674,0.0780455,5.4685530,0.6041922
0.675,0.0766589,5.4829960,0.6049941
0.676,0.0752723,5.4974590,0.6057960
0.677,0.0739168,5.5119400,0.6066018
0.678,0.0725883,5.5264410,0.6074109
0.679,0.0713242,5.5409610,0.6082278
0.680,0.0700696,5.5554990,0.6090458
0.681,0.0688149,5.5700570,0.6098638
0.682,0.0675602,5.5846340,0.6106818
0.683,0.0663056,5.5992300,0.6114998
0.684,0.0650509,5.6138450,0.6123179
0.685,0.0638487,5.6284790,0.6131427
0.686,0.0626725,5.6431320,0.6139708
0.687,0.0615513,5.6578040,0.6148061
0.688,0.0604301,5.6724950,0.6156413
0.689,0.0593089,5.6872050,0.6164766
0.690,0.0581876,5.7019340,0.6173118
0.691,0.0570664,5.7166830,0.6181471
0.692,0.0559548,5.7314500,0.6189837
0.693,0.0548987,5.7462360,0.6198281
0.694,0.0538801,5.7610420,0.6206777
0.695,0.0528902,5.7758660,0.6215314
0.696,0.0519003,5.7907100,0.6223851
0.697,0.0509104,5.8055720,0.6232388
0.698,0.0499205,5.8204540,0.6240925
0.699,0.0489306,5.8353550,0.6249462
0.700,0.0479818,5.8502740,0.6258063
0.701,0.0470596,5.8652130,0.6266705
0.702,0.0461859,5.8801710,0.6275421
0.703,0.0453123,5.8951480,0.6284137
0.704,0.0444386,5.9101440,0.6292852
0.705,0.0435650,5.9251590,0.6301568
0.706,0.0426913,5.9401930,0.6310284
0.707,0.0418330,5.9552460,0.6319026
0.708,0.0409971,5.9703180,0.6327804
0.709,0.0401970,5.9854090,0.6336641
0.710,0.0394011,6.0005190,0.6345486
0.711,0.0386053,6.0156490,0.6354331
0.712,0.0378095,6.0307970,0.6363176
0.713,0.0370136,6.0459640,0.6372021
0.714,0.0362297,6.0611510,0.6380888
0.715,0.0354885,6.0763560,0.6389833
0.716,0.0347826,6.0915810,0.6398841
0.717,0.0340890,6.1068240,0.6407872
0.718,0.0333954,6.1220870,0.6416903
0.719,0.0327018,6.1373680,0.6425934
0.720,0.0320082,6.1526690,0.6434964
0.721,0.0313216,6.1679890,0.6444010
0.722,0.0306655,6.1833280,0.6453118
0.723,0.0300416,6.1986860,0.6462290
0.724,0.0294299,6.2140620,0.6471485
0.725,0.0288182,6.2294580,0.6480681
0.726,0.0282065,6.2448730,0.6489877
0.727,0.0275947,6.2603070,0.6499072
0.728,0.0269915,6.2757610,0.6508286
0.729,0.0264108,6.2912330,0.6517548
0.730,0.0258561,6.3067240,0.6526869
0.731,0.0253062,6.3222340,0.6536200
0.732,0.0247563,6.3377630,0.6545531
0.733,0.0242064,6.3533120,0.6554861
0.734,0.0236566,6.3688790,0.6564192
0.735,0.0231243,6.3844660,0.6573566
0.736,0.0226149,6.4000710,0.6582996
0.737,0.0221372,6.4156960,0.6592503
0.738,0.0216594,6.4313390,0.6602009
0.739,0.0211817,6.4470020,0.6611516
0.740,0.0207039,6.4626830,0.6621022
0.741,0.0202261,6.4783840,0.6630529
0.742,0.0197694,6.4941040,0.6640093
0.743,0.0193309,6.5098430,0.6649707
0.744,0.0189108,6.5256010,0.6659369
0.745,0.0184906,6.5413780,0.6669031
0.746,0.0180705,6.5571740,0.6678693
0.747,0.0176504,6.5729890,0.6688355
0.748,0.0172353,6.5888230,0.6698032
0.749,0.0168405,6.6046760,0.6707771
0.750,0.0164680,6.6205480,0.6717578
0.751,0.0160994,6.6364390,0.6727397
0.752,0.0157307,6.6523490,0.6737217
0.753,0.0153621,6.6682790,0.6747036
0.754,0.0149935,6.6842270,0.6756855
0.755,0.0146404,6.7001940,0.6766725
0.756,0.0143005,6.7161810,0.6776639
0.757,0.0139716,6.7321860,0.6786588
0.758,0.0136426,6.7482110,0.6796537
0.759,0.0133137,6.7642550,0.6806486
0.760,0.0129847,6.7803170,0.6816435
0.761,0.0126630,6.7963990,0.6826412
0.762,0.0123560,6.8125000,0.6836444
0.763,0.0120696,6.8286200,0.6846552
0.764,0.0117832,6.8447580,0.6856660
0.765,0.0114967,6.8609160,0.6866767
0.766,0.0112103,6.8770930,0.6876875
0.767,0.0109249,6.8932890,0.6886987
0.768,0.0106558,6.9095040,0.6897169
0.769,0.0104020,6.9257380,0.6907415
0.770,0.0101527,6.9419920,0.6917679
0.771,0.0099033,6.9582640,0.6927943
0.772,0.0096540,6.9745550,0.6938206
0.773,0.0094047,6.9908650,0.6948470
0.774,0.0091694,7.0071950,0.6958800
0.775,0.0089457,7.0235430,0.6969183
0.776,0.0087280,7.0399100,0.6979595
0.777,0.0085103,7.0562970,0.6990007
0.778,0.0082926,7.0727020,0.7000419
0.779,0.0080749,7.0891270,0.7010831
0.780,0.0078679,7.1055710,0.7021301
0.781,0.0076716,7.1220330,0.7031827
0.782,0.0074819,7.1385150,0.7042389
0.783,0.0072923,7.1550160,0.7052950
0.784,0.0071026,7.1715360,0.7063512
0.785,0.0069129,7.1880750,0.7074073
0.786,0.0067325,7.2046320,0.7084691
0.787,0.0065619,7.2212090,0.7095367
0.788,0.0063970,7.2378050,0.7106078
0.789,0.0062322,7.2544210,0.7116790
0.790,0.0060673,7.2710550,0.7127501
0.791,0.0059024,7.2877080,0.7138212
0.792,0.0057459,7.3043800,0.7148980
0.793,0.0055976,7.3210710,0.7159804
0.794,0.0054533,7.3377820,0.7170655
0.795,0.0053090,7.3545110,0.7181507
0.796,0.0051646,7.3712590,0.7192358
0.797,0.0050203,7.3880270,0.7203209
0.798,0.0048855,7.4048130,0.7214134
0.799,0.0047588,7.4216190,0.7225121
0.800,0.0046342,7.4384440,0.7236125
0.801,0.0045096,7.4552870,0.7247128
0.802,0.0043850,7.4721500,0.7258132
0.803,0.0042619,7.4890320,0.7269149
0.804,0.0041455,7.5059330,0.7280226
